Source,Asset_Class,Index,Actual_ClosePrice,Predicted_ClosePrice,ip_value,Return,Weight
cmf2,Asset_1,19.0,8.35,8.397536968576707,0.9031954887218046,0.005693050128947036,
nb2,Asset_2,19.0,8.0,8.027598876,0.703729768,0.0034498595000000964,0.4009299101431474
nb2,Asset_2,19.0,8.07,8.041936856,0.762491203,-0.0034774651796779135,0.4009299101431474
nb2,Asset_2,18.0,7.86,7.896851515,0.809289233,0.004688487913485941,0.4009299101431474
nb2,Asset_2,19.0,7.86,7.945128447,0.809289233,0.010830591221374017,0.4009299101431474
nb2,Asset_2,19.0,9.4,9.462239165,0.701970443,0.00662118776595738,0.4009299101431474
nb2,Asset_2,18.0,9.53,9.532216247,0.928571429,0.00023255477439661936,0.4009299101431474
nb2,Asset_2,19.0,9.6,9.534520758,0.928571429,-0.0068207543750000346,0.4009299101431474
nb2,Asset_2,19.0,9.55,9.542947442,0.862068966,-0.0007384877486912666,0.4009299101431474
nb2,Asset_2,16.0,9.58,9.564884591,0.801548205,-0.001577808872651342,0.4009299101431474
nb2,Asset_2,17.0,9.55,9.60619815,0.801548205,0.005884623036649232,0.4009299101431474
nb2,Asset_2,18.0,9.55,9.629795197,0.801548205,0.008355518010471127,0.4009299101431474
nb2,Asset_2,19.0,9.6,9.591276971,0.801548205,-0.0009086488541667123,0.4009299101431474
nb3,Asset_3,19.0,7.28,7.337106236258222,0.6660714285714285,0.007844263222283238,0.23948297404189378
nb3,Asset_3,19.0,7.35,7.328899237933942,0.8428571428571429,-0.0028708519817765895,0.23948297404189378
nb3,Asset_3,18.0,7.5,7.473407575658221,0.6857142857142857,-0.0035456565789039256,0.23948297404189378
nb3,Asset_3,19.0,7.55,7.4637728805398575,0.6857142857142857,-0.011420810524522157,0.23948297404189378
nb3,Asset_3,18.0,7.55,7.477543083523546,0.6428571428571428,-0.00959694257966274,0.23948297404189378
nb3,Asset_3,19.0,7.5,7.521184261811924,0.6428571428571428,0.002824568241589868,0.23948297404189378
nb3,Asset_3,19.0,7.5,7.497567895615263,0.5767857142857142,-0.0003242805846316088,0.23948297404189378
nb3,Asset_3,19.0,7.49,7.491769940672367,0.7321428571428572,0.00023630716587009622,0.23948297404189378
nb3,Asset_3,19.0,7.5,7.48784142929806,0.6232142857142857,-0.0016211427602587018,0.23948297404189378
nb3,Asset_3,18.0,9.52,9.3950129669416,0.5696428571428572,-0.013128890027142808,0.23948297404189378
nb3,Asset_3,19.0,9.36,9.555176719700212,0.5696428571428572,0.02085221364318508,0.23948297404189378
nb3,Asset_3,19.0,8.9,8.904780075631402,0.8321428571428571,0.0005370871495957095,0.23948297404189378
nb3,Asset_3,19.0,9.29,9.198366343247468,0.6892857142857143,-0.00986368748681715,0.23948297404189378
nb3,Asset_3,17.0,9.38,9.301547738687548,0.6160714285714286,-0.008363780523715668,0.23948297404189378
nb3,Asset_3,18.0,9.31,9.343732099452817,0.6160714285714286,0.003623211541655886,0.23948297404189378
nb3,Asset_3,19.0,9.15,9.31083411623166,0.6160714285714286,0.0175774990417115,0.23948297404189378
nb3,Asset_3,16.0,9.1,9.0900803329578,0.7392857142857143,-0.0010900733013405786,0.23948297404189378
nb3,Asset_3,17.0,9.11,9.156431860521472,0.7392857142857143,0.005096801374475616,0.23948297404189378
nb3,Asset_3,18.0,9.01,9.012335525842447,0.7392857142857143,0.0002592148548776181,0.23948297404189378
nb3,Asset_3,19.0,9.15,9.097921663138402,0.7392857142857143,-0.005691621514928745,0.23948297404189378
gibf1,Asset_4,19.0,8.24,8.331739612871399,0.6877840149692596,0.011133448164004677,0.35958711581495884
gibf1,Asset_4,15.0,8.23,8.353415184935447,0.8620689655172413,0.014995769736992237,0.35958711581495884
gibf1,Asset_4,16.0,8.25,8.185978840005017,0.8620689655172413,-0.007760140605452476,0.35958711581495884
gibf1,Asset_4,17.0,8.25,8.278647439716572,0.8620689655172413,0.0034724169353420498,0.35958711581495884
gibf1,Asset_4,18.0,8.21,8.246852509985438,0.8620689655172413,0.004488734468384489,0.35958711581495884
gibf1,Asset_4,19.0,8.2,8.225194510824538,0.8620689655172413,0.0030725013200657383,0.35958711581495884
gibf1,Asset_4,16.0,8.25,8.279199323798528,0.8839882384389202,0.0035393119755791204,0.35958711581495884
gibf1,Asset_4,17.0,8.21,8.24788369470267,0.8839882384389202,0.004614335530166809,0.35958711581495884
gibf1,Asset_4,18.0,8.2,8.213024410038715,0.8839882384389202,0.0015883426876482406,0.35958711581495884
gibf1,Asset_4,19.0,8.22,8.202500319171873,0.8839882384389202,-0.0021289149425945423,0.35958711581495884
gibf1,Asset_4,15.0,8.34,8.354799578034884,0.8499064421277733,0.0017745297403937608,0.35958711581495884
gibf1,Asset_4,16.0,8.3,8.364007680569197,0.8499064421277733,0.007711768743276603,0.35958711581495884
gibf1,Asset_4,17.0,8.22,8.27692696755357,0.8499064421277733,0.006925421843499833,0.35958711581495884
gibf1,Asset_4,18.0,8.22,8.316011342024812,0.8499064421277733,0.011680211925159487,0.35958711581495884
gibf1,Asset_4,19.0,8.22,8.27746911295822,0.8499064421277733,0.006991376272289523,0.35958711581495884
gibf1,Asset_4,19.0,8.52,8.561563132797705,0.7619620422346967,0.004878301971561655,0.35958711581495884
gibf1,Asset_4,17.0,10.35,10.266120890397108,0.925153702218658,-0.00810426179738084,0.35958711581495884
gibf1,Asset_4,18.0,10.07,10.096361468867306,0.925153702218658,0.002617822131807895,0.35958711581495884
gibf1,Asset_4,19.0,10.18,10.233115105550148,0.925153702218658,0.005217593865436955,0.35958711581495884
gibf1,Asset_4,19.0,10.18,10.1159368358805,0.8442929697941726,-0.006293041662033331,0.35958711581495884
gibf1,Asset_4,18.0,9.8,9.871171160159731,0.7919005613472334,0.007262363281605149,0.35958711581495884
gibf1,Asset_4,19.0,9.7,9.755248478302128,0.7919005613472334,0.00569571941259064,0.35958711581495884
